timestamp,scroll_count,like_count,post_link,comment_post_link,comment_text,number_of_comments,session_id
2025-11-19T09:01:23.581Z,8,1,https://x.com/narendramodi/status/1991060735917789344,,,0,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:01:27.363Z,9,1,https://x.com/RR_for_LIFE/status/1990795721474511118,,,0,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:01:33.006Z,11,1,https://x.com/Mrbankstips/status/1991019683726676162,,,0,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:01:39.070Z,13,1,https://x.com/fcRCBtweets/status/1990715590579802293,,,0,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:01:51.691Z,18,1,https://x.com/cricketaakash/status/1991012074429035000,,,0,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:01:55.934Z,19,1,https://x.com/UTDTrey/status/1990907043352342715,,,0,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:02:27.160Z,20,0,,https://x.com/cricketaakash/status/1991012074429035000,"He really played his heart out, didn't he? Bavuma's performance was truly impressive at the Eden - such a joy to watch! 🏏✨",1,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:02:50.002Z,30,1,https://x.com/narendramodi/status/1991049373384651157,,,1,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:03:04.078Z,36,1,https://x.com/BJP4India/status/1990384607632777577,,,1,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:03:14.561Z,40,1,https://x.com/KKRiders/status/1990737939089784848,,,1,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:03:44.650Z,40,0,,https://x.com/KKRiders/status/1990737939089784848,Exciting times ahead! Building on a strong foundation is key to success. Looking forward to seeing how the new leadership continues the amazing legacy. 🌟,2,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:03:48.715Z,41,1,https://x.com/CricCrazyJohns/status/1990761222699135375,,,2,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:04:00.779Z,46,1,https://x.com/tonybekkal/status/1990631540280472057,,,2,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:05:09.637Z,60,0,,https://x.com/JaipurDialogues/status/1991046357415834000,Sounds like it's time for a meltdown session! Sometimes a good meltdown can be cathartic and help release pent-up emotions. Just remember to take care of yourself afterwards!,3,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:05:13.893Z,61,1,https://x.com/ICC/status/1991065513695257052,,,3,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:05:21.781Z,64,1,https://x.com/Parinda_2/status/1990744450042339575,,,3,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:05:27.773Z,66,1,https://x.com/BJP4India/status/1991040038541635637,,,3,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:05:54.900Z,78,1,https://x.com/arpitk217/status/1990762202136260648,,,3,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:06:00.796Z,80,1,https://x.com/ICC/status/1991014390645354502,,,3,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:06:34.386Z,80,0,,https://x.com/ICC/status/1991014390645354502,"Wow, what an incredible achievement for Mushfiqur Rahim and a proud moment for Bangladesh cricket! Here's to many more milestones and unforgettable performances in the future. 🏏🇧🇩 #CricketHistory",4,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:06:50.232Z,86,1,https://x.com/CineAlpha1/status/1990352599762235520,,,4,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:07:00.505Z,90,1,https://x.com/Goatlified/status/1990647975094464670,,,4,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:07:06.111Z,92,1,https://x.com/PunjabKingsIPL/status/1990424030663361013,,,4,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:07:09.750Z,93,1,https://x.com/__Amoxicillin_/status/1990624330137694337,,,4,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:07:15.566Z,95,1,https://x.com/timepasshai/status/1991037064260039105,,,4,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:07:19.478Z,96,1,https://x.com/narendramodi/status/1990613317296259277,,,4,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:08:00.823Z,100,0,,https://x.com/Cric_records45/status/1990669330242228650,"Wow, it's interesting to see the highest-paid players for each IPL team in 2026! Big bucks for big talent. Can't wait to see these stars in action on the field. 🏏💰",5,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:08:17.191Z,103,1,https://x.com/PratikaRawal64/status/1991051596319617248,,,5,f261b7d9-0c68-4fbc-9b8c-fecedfd02a1b
2025-11-19T09:12:26.251Z,8,1,https://x.com/BJP4India/status/1990846214300954680,,,0,472c1ab2-5229-4b53-9fe8-60d6cc808efe
2025-11-19T09:12:34.846Z,11,1,https://x.com/BJP4TamilNadu/status/1990963235080577350,,,0,472c1ab2-5229-4b53-9fe8-60d6cc808efe
2025-11-19T09:12:42.960Z,14,1,https://x.com/Akshatgoel1408/status/1990374576531161558,,,0,472c1ab2-5229-4b53-9fe8-60d6cc808efe
2025-11-19T09:12:50.897Z,17,1,https://x.com/NetflixIndia/status/1990397009451172030,,,0,472c1ab2-5229-4b53-9fe8-60d6cc808efe
2025-11-19T09:12:58.843Z,20,1,https://x.com/Bharatrastrsena/status/1990833397158260869,,,0,472c1ab2-5229-4b53-9fe8-60d6cc808efe
